State,District,Population,Male_Population,Female_Population,Literacy_Rate,Area_sq_km,Population_Density,Sex_Ratio,Urban_Population,Data_Type,Reference_Year
Andhra Pradesh,AP_District_01,62312,31997,30315,73.63,1362,45.75,947,40339,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_02,48434,24944,23490,77.07,1516,31.95,942,25019,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_03,67292,35412,31880,71.14,556,121.03,900,33938,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_04,70970,37233,33737,70.86,1577,45,906,41745,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_05,67555,35690,31865,74.99,1719,39.3,893,33851,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_06,62694,32114,30580,72.5,766,81.85,952,34055,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_07,74327,38136,36191,76.87,1130,65.78,949,43641,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_08,81781,42184,39597,74.38,2007,40.75,939,49886,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_09,62393,32202,30191,75.41,2352,26.53,938,36676,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_10,89351,45948,43403,74.53,1404,63.64,945,48659,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_11,67503,35169,32334,71.15,1089,61.99,919,40892,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_12,84334,44289,40045,74.41,1222,69.01,904,50742,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_13,73696,37816,35880,70.91,1245,59.19,949,36928,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_14,78270,41131,37139,72.85,1536,50.96,903,42884,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_15,86140,44629,41511,73.62,1432,60.15,930,50565,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_16,100223,52969,47254,70.82,2244,44.66,892,63591,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_17,81893,42553,39340,74.15,1589,51.54,924,49056,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_18,87528,46013,41515,75.62,2496,35.07,902,56641,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_19,59672,30838,28834,74.55,2278,26.19,935,35485,Synthetic / Simulated,2025
Andhra Pradesh,AP_District_20,92147,48699,43448,73.65,2100,43.88,892,50686,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_01,51973,25290,26683,70.86,3353,15.5,1055,14118,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_02,14471,7047,7424,73.92,2839,5.1,1053,2788,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_03,30812,14927,15885,69.37,4714,6.54,1064,5599,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_04,35683,17537,18146,73.9,1420,25.13,1035,10526,Synthetic / Simulated,2025
